Id,first_timestamp,last_timestamp,total_cycle_time,n_stations_visited,path_signature,split,Response,risk_score,alert
1398269,1409.08,1410.3,1.2200928,12,0-1-2-5-6-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
1026602,1409.11,1410.34,1.2299805,13,0-1-2-5-7-8-10-29-30-32-34-35-37,test,0,0.17538461538461536,True
224594,1409.41,1410.61,1.1999512,12,0-1-3-5-7-8-10-29-30-32-35-37,test,0,0.17538461538461536,True
382095,1409.49,1410.61,1.1199951,12,0-1-3-4-6-8-10-29-30-32-36-37,test,0,0.17538461538461536,True
1857966,1409.69,1410.71,1.0200195,12,0-1-3-4-6-8-11-29-30-32-36-37,test,0,0.17538461538461536,True
1631100,1409.85,1410.83,0.97998047,12,0-1-3-5-6-8-11-29-30-32-35-37,test,0,0.2167192140863607,True
1434371,1410.05,1410.87,0.8199463,12,14-12-13-16-20-22-18-29-30-32-36-37,test,1,0.17538461538461536,True
2312492,1411.4,1411.74,0.33996582,13,12-13-14-16-20-23-19-29-30-32-34-35-37,test,0,0.11711711711711711,True
1523850,1412.0,1412.82,0.8199463,12,12-13-14-16-19-20-21-29-30-37-36-32,test,1,0.11711711711711711,True
32749,1412.03,1412.77,0.73999023,13,0-1-3-5-6-8-10-29-30-32-34-35-37,test,0,0.11711711711711711,True
1485520,1412.25,1413.02,0.77001953,12,0-1-2-5-7-8-10-29-30-32-35-37,test,0,0.23809523809523808,True
1323759,1412.35,1412.85,0.5,12,0-1-3-5-7-8-9-29-30-37-35-33,test,0,0.11711711711711711,True
1489743,1412.38,1412.87,0.48999023,13,0-1-3-4-6-8-11-29-30-32-34-37-36,test,0,0.11711711711711711,True
1082958,1412.48,1413.02,0.54003906,13,0-1-3-4-7-8-10-29-30-32-34-37-36,test,0,0.17538461538461536,True
2265951,1412.68,1413.1,0.41992188,12,0-1-2-5-7-8-11-29-30-32-36-37,test,0,0.11711711711711711,True
136539,1412.71,1413.12,0.41003418,12,0-1-3-5-7-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
342461,1413.07,1413.26,0.19006348,12,14-12-13-16-19-20-22-29-30-32-35-37,test,0,0.17538461538461536,True
2349295,1413.07,1413.25,0.18005371,12,0-1-3-4-7-8-11-29-30-32-35-37,test,0,0.11711711711711711,True
1273610,1413.15,1413.41,0.26000977,13,0-1-3-4-7-8-10-29-30-32-34-35-37,test,0,0.11711711711711711,True
1926076,1413.51,1413.93,0.42004395,13,0-1-2-5-7-8-10-29-30-35-34-32-37,test,0,0.17538461538461536,True
2321730,1413.87,1415.01,1.1400146,12,12-13-14-16-20-21-19-29-30-37-35-32,test,0,0.11711711711711711,True
332426,1414.06,1415.08,1.0198975,13,0-1-3-4-7-8-11-29-30-32-34-37-36,test,1,0.11711711711711711,True
66543,1414.07,1415.07,1.0,12,0-1-3-4-7-8-11-29-30-37-35-32,test,0,0.11711711711711711,True
1665092,1414.11,1415.16,1.0500488,12,0-1-2-5-7-8-10-29-30-32-36-37,test,0,0.23809523809523808,True
876311,1415.27,1424.73,9.459961,12,12-13-14-16-19-21-20-29-30-32-35-37,test,0,0.23809523809523808,True
818075,1415.44,1424.75,9.310059,12,12-13-15-17-20-21-18-29-30-32-35-37,test,0,0.17538461538461536,True
949566,1415.44,1424.75,9.310059,12,12-13-15-16-19-20-22-29-30-32-35-37,test,1,0.11711711711711711,True
949567,1415.44,1424.75,9.310059,12,12-13-15-16-19-20-22-29-30-32-35-37,test,0,0.11711711711711711,True
1617733,1423.49,1425.02,1.5300293,12,15-12-13-17-20-23-19-29-30-32-35-37,test,1,0.17538461538461536,True
1470409,1423.52,1425.02,1.5,12,12-13-15-16-20-21-19-29-30-32-36-37,test,0,0.17538461538461536,True
181177,1423.86,1425.35,1.4899902,12,12-13-15-17-20-21-19-29-30-32-36-37,test,0,0.17538461538461536,True
1126518,1424.03,1425.58,1.5499268,12,12-13-14-17-18-20-23-29-30-32-35-37,test,0,0.11711711711711711,True
1390216,1424.12,1425.56,1.4400635,12,15-12-13-16-18-20-23-29-30-32-36-37,test,0,0.11711711711711711,True
1478165,1424.32,1425.58,1.2600098,13,12-13-14-16-20-22-18-29-30-32-34-35-37,test,0,0.11711711711711711,True
1571344,1424.32,1425.58,1.2600098,13,12-13-15-16-18-20-22-29-30-32-34-35-37,test,0,0.11711711711711711,True
2190553,1424.49,1425.6,1.1099854,13,15-12-13-16-20-23-19-29-30-32-34-37-36,test,0,0.11711711711711711,True
385172,1424.67,1427.02,2.3499756,12,15-12-13-17-20-23-18-29-30-32-35-37,test,0,0.17538461538461536,True
401977,1424.67,1427.0,2.329956,12,12-13-15-16-19-23-20-29-30-32-36-37,test,0,0.17538461538461536,True
612860,1424.67,1427.02,2.3499756,12,15-12-13-16-20-21-18-29-30-32-35-37,test,0,0.23809523809523808,True
616811,1424.67,1426.99,2.3199463,12,15-12-13-17-18-22-20-29-30-32-35-37,test,0,0.17538461538461536,True
536003,1424.68,1427.01,2.329956,12,14-12-13-17-19-20-22-29-30-32-36-37,test,0,0.11711711711711711,True
545181,1424.68,1427.0,2.3199463,12,12-13-14-16-20-21-19-29-30-32-36-37,test,0,0.23809523809523808,True
618137,1424.8,1426.37,1.5699463,12,0-1-3-5-6-8-10-29-30-37-35-32,test,0,0.11711711711711711,True
411982,1424.83,1426.38,1.5500488,12,0-1-2-5-7-8-11-29-30-32-36-37,test,1,0.17538461538461536,True
831799,1424.83,1426.37,1.5400391,12,0-1-3-5-6-8-11-29-30-32-36-37,test,0,0.17538461538461536,True
2123060,1424.98,1426.65,1.670044,13,0-1-2-5-7-8-11-29-30-32-34-37-36,test,0,0.11711711711711711,True
1566197,1424.99,1426.65,1.6600342,13,0-1-2-5-6-8-10-29-30-32-34-37-36,test,0,0.11711711711711711,True
2068317,1424.99,1426.65,1.6600342,12,0-1-3-4-7-8-9-29-30-32-35-37,test,0,0.23809523809523808,True
703868,1425.17,1426.99,1.8199463,12,0-1-3-5-6-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
1800298,1425.21,1426.9,1.6900635,12,0-1-2-5-6-8-10-29-30-32-35-37,test,0,0.23809523809523808,True
860133,1425.35,1427.0,1.6500244,12,0-1-3-4-6-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
558347,1425.37,1427.07,1.6999512,12,0-1-2-4-6-8-11-29-30-37-36-32,test,0,0.11711711711711711,True
751040,1425.39,1427.04,1.6500244,12,0-1-2-4-6-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
675719,1425.41,1427.05,1.6400146,12,0-1-2-4-7-8-11-29-30-32-36-37,test,0,0.17538461538461536,True
1013245,1425.47,1444.35,18.880005,12,0-1-3-5-7-8-9-29-30-37-35-33,test,0,0.11711711711711711,True
2333664,1425.47,1429.87,4.4000244,4,24-30-32-37,test,0,0.17538461538461536,True
1074404,1425.6,1427.26,1.6600342,12,0-1-3-5-6-8-10-29-30-32-35-37,test,0,0.17538461538461536,True
1060958,1425.7,1427.32,1.6199951,12,0-1-2-5-6-8-10-29-30-32-36-37,test,0,0.17538461538461536,True
1079479,1425.72,1427.47,1.75,12,0-1-3-4-7-8-11-29-30-32-35-37,test,0,0.23809523809523808,True
1139622,1426.08,1427.58,1.5,12,0-1-3-5-7-8-11-29-30-32-36-37,test,0,0.17538461538461536,True
843676,1426.38,1427.71,1.329956,12,0-1-3-5-7-8-10-29-30-32-36-37,test,0,0.17538461538461536,True
1008719,1426.39,1427.79,1.4000244,12,0-1-3-4-7-8-9-29-30-32-36-37,test,0,0.17538461538461536,True
1087449,1426.41,1427.78,1.3699951,12,0-1-2-5-7-8-10-29-30-32-35-37,test,0,0.17538461538461536,True
487202,1426.42,1427.79,1.3699951,12,0-1-3-4-6-8-11-29-30-32-36-37,test,0,0.17538461538461536,True
26379,1426.75,1428.01,1.2600098,12,0-1-2-4-7-8-9-29-30-32-36-37,test,1,0.17538461538461536,True
403732,1426.81,1428.0,1.1899414,12,0-1-3-4-6-8-9-29-30-37-35-32,test,0,0.11711711711711711,True
943055,1428.09,1429.21,1.1199951,12,12-13-15-17-18-23-20-29-30-32-36-37,test,0,0.11711711711711711,True
1959514,1428.29,1429.57,1.2799072,12,14-12-13-16-18-23-20-29-30-32-36-37,test,0,0.11711711711711711,True
2043243,1428.3,1429.56,1.2600098,12,14-12-13-17-18-20-22-29-30-32-36-37,test,0,0.11711711711711711,True
1537717,1429.57,1431.16,1.5900879,13,0-1-3-4-7-8-10-29-30-32-34-35-37,test,0,0.11711711711711711,True
2289552,1429.82,1431.48,1.6600342,12,0-1-2-5-7-8-10-29-30-37-36-33,test,0,0.11711711711711711,True
1931060,1429.91,1431.52,1.6099854,12,0-1-3-4-6-8-10-29-30-32-35-37,test,0,0.17538461538461536,True
386404,1431.0,1432.34,1.3399658,12,0-1-2-4-7-8-10-29-30-32-36-37,test,0,0.17538461538461536,True
743002,1431.01,1432.34,1.329956,12,0-1-2-4-7-8-9-29-30-32-35-37,test,0,0.17538461538461536,True
