Id,first_timestamp,last_timestamp,total_cycle_time,n_stations_visited,path_signature,split,Response,risk_score,alert
4,1589.2,1605.82,16.62,17,L0_S24|L1_S34|L3_S44,train,0,0.063098,False
7,277.05,277.52,0.47,8,L0_S20|L1_S30|L3_S40,train,0,0.925223,True
10,17.8,35.8,18,18,L2_S22|L3_S32|L3_S42,train,0,0.243417,False
13,921.35,925.89,4.54,18,L0_S20|L1_S30|L3_S40,train,0,0.216463,False
16,1588.76,1600.1,11.34,21,L2_S30|L3_S40|L3_S50,train,0,0.000365,False
19,211.15,220.83,9.68,14,L3_S31|L0_S41|L3_S51,train,0,0.098108,False
22,424.65,438.39,13.74,14,L3_S27|L0_S37|L3_S47,train,0,0.1645,False
25,1289.4,1300.13,10.73,18,L2_S26|L3_S36|L3_S46,train,0,0.075006,False
28,463.23,483.66,20.43,13,L0_S28|L1_S38|L3_S48,train,0,0.054111,False
31,1189.07,1200.1,11.03,14,L0_S20|L1_S30|L3_S40,train,0,0.328801,False
34,846.37,863.3,16.93,17,L2_S30|L3_S40|L3_S50,train,0,0.204294,False
37,45.98,53.06,7.08,8,L0_S20|L1_S30|L3_S40,train,0,0.000634,False
40,974.13,974.23,0.1,20,L0_S28|L1_S38|L3_S48,train,0,0.097132,False
43,375.8,391.51,15.71,19,L1_S21|L2_S31|L3_S41,train,0,0.007328,False
46,807.57,823.6,16.03,8,L0_S28|L1_S38|L3_S48,train,1,0.850961,True
49,605.73,621.29,15.56,14,L1_S21|L2_S31|L3_S41,train,0,0.270191,False
52,424.4,441.98,17.58,13,L1_S29|L2_S39|L3_S49,train,0,0.000948,False
55,311.48,326.71,15.23,19,L3_S23|L0_S33|L3_S43,train,0,0.781371,True
58,765.04,773.24,8.2,21,L1_S25|L2_S35|L3_S45,train,0,0.224248,False
61,47.54,62.6,15.06,19,L2_S30|L3_S40|L3_S50,train,0,0.711749,False
64,147.4,156.49,9.09,14,L2_S26|L3_S36|L3_S46,train,0,0.136908,False
67,218.17,220.84,2.67,14,L2_S30|L3_S40|L3_S50,train,0,0.202074,False
70,654.89,666.91,12.02,8,L2_S26|L3_S36|L3_S46,train,0,0.71809,False
73,408.06,429.44,21.38,18,L1_S21|L2_S31|L3_S41,train,0,0.063931,False
76,470.3,480.11,9.81,9,L2_S26|L3_S36|L3_S46,train,0,0.001287,False
79,428.99,431.44,2.45,20,L3_S27|L0_S37|L3_S47,train,0,0.216755,False
82,841.34,847.63,6.29,17,L0_S24|L1_S34|L3_S44,train,0,0.001625,False
85,1529.04,1534.07,5.03,19,L0_S24|L1_S34|L3_S44,train,0,0.324198,False
88,1027.82,1029.07,1.25,16,L0_S20|L1_S30|L3_S40,train,0,0.878593,True
91,990.64,1005.44,14.8,11,L1_S21|L2_S31|L3_S41,train,0,0.928806,True
94,370,381.27,11.27,10,L3_S31|L0_S41|L3_S51,train,0,0.921753,True
97,1227.31,1239.22,11.91,17,L1_S29|L2_S39|L3_S49,train,0,0.856353,True
100,461.79,479.38,17.59,18,L1_S25|L2_S35|L3_S45,train,0,0.168008,False
103,828.76,841.94,13.18,9,L2_S22|L3_S32|L3_S42,train,0,0.409407,False
106,1121.13,1131.52,10.39,9,L3_S27|L0_S37|L3_S47,train,0,0.494568,False
109,1314.56,1326.38,11.82,19,L3_S31|L0_S41|L3_S51,train,0,0.301173,False
112,1510.1,1522.97,12.87,10,L3_S23|L0_S33|L3_S43,train,0,0.268537,False
115,1293.31,1307.39,14.08,19,L3_S27|L0_S37|L3_S47,train,1,0.896704,True
118,157.8,165.16,7.36,8,L3_S23|L0_S33|L3_S43,train,0,0.000523,False
121,71.16,84.42,13.26,9,L0_S24|L1_S34|L3_S44,train,0,0.242859,False
124,1614.63,1637.38,22.75,11,L1_S25|L2_S35|L3_S45,train,0,0.148068,False
127,217.52,224.46,6.94,20,L0_S24|L1_S34|L3_S44,train,0,0.287755,False
130,334.17,338.32,4.15,15,L1_S21|L2_S31|L3_S41,train,0,0.363332,False
133,394.89,397.08,2.19,9,L0_S28|L1_S38|L3_S48,train,0,0.033858,False
136,1160.99,1167.45,6.46,10,L3_S23|L0_S33|L3_S43,train,0,0.012179,False
139,702.58,711.43,8.85,10,L0_S24|L1_S34|L3_S44,train,0,0.012086,False
142,1648.99,1649.09,0.1,16,L2_S26|L3_S36|L3_S46,train,0,0.011451,False
145,1630.34,1652.02,21.68,19,L3_S23|L0_S33|L3_S43,train,0,0.117092,False
148,443.4,453.98,10.58,14,L3_S27|L0_S37|L3_S47,train,0,0.606705,False
151,360.07,374,13.93,18,L1_S21|L2_S31|L3_S41,train,0,0.657383,False
154,44.11,45.42,1.31,15,L2_S22|L3_S32|L3_S42,train,0,0.023257,False
157,1456.17,1467.7,11.53,18,L3_S23|L0_S33|L3_S43,train,0,0.516825,False
160,1281.11,1286.6,5.49,16,L3_S23|L0_S33|L3_S43,train,0,0.800773,True
163,476.07,485.12,9.05,11,L3_S23|L0_S33|L3_S43,train,0,0.530122,False
166,1420.97,1430.22,9.25,14,L1_S21|L2_S31|L3_S41,train,0,0.047514,False
169,467.81,484.88,17.07,16,L3_S27|L0_S37|L3_S47,train,0,0.681798,False
172,1658.15,1672.35,14.2,14,L0_S20|L1_S30|L3_S40,train,1,0.802964,True
175,1052.87,1057.44,4.57,17,L3_S23|L0_S33|L3_S43,train,0,0.075782,False
178,500.52,512.31,11.79,8,L1_S21|L2_S31|L3_S41,train,0,0.186116,False
181,566.79,569.47,2.68,8,L2_S30|L3_S40|L3_S50,train,0,0.603487,False
184,1575.16,1595.73,20.57,18,L2_S22|L3_S32|L3_S42,train,0,0.159502,False
187,858.11,872.62,14.51,21,L1_S21|L2_S31|L3_S41,train,0,0.792159,True
190,1371.08,1393.48,22.4,14,L1_S21|L2_S31|L3_S41,train,0,0.953068,True
193,611.64,616.98,5.34,18,L1_S29|L2_S39|L3_S49,train,0,0.008187,False
196,940.19,947.62,7.43,9,L2_S22|L3_S32|L3_S42,train,0,0.664602,False
199,1415.58,1422.57,6.99,11,L3_S31|L0_S41|L3_S51,train,0,0.654895,False
202,1227.46,1246.38,18.92,20,L2_S30|L3_S40|L3_S50,train,0,0.212839,False
205,144.02,151.14,7.12,18,L2_S30|L3_S40|L3_S50,train,0,0.249326,False
208,805.45,809.36,3.91,15,L3_S23|L0_S33|L3_S43,train,0,0.003728,False
211,451.96,452.28,0.32,9,L0_S20|L1_S30|L3_S40,train,0,0.550709,False
214,144.1,160.36,16.26,14,L3_S23|L0_S33|L3_S43,train,0,0.370483,False
217,31.04,34.78,3.74,9,L2_S22|L3_S32|L3_S42,train,0,0.198696,False
220,30.4,41.48,11.08,8,L2_S30|L3_S40|L3_S50,train,0,0.392996,False
223,663.92,669.74,5.82,8,L0_S24|L1_S34|L3_S44,train,0,0.134349,False
226,964.24,980.61,16.37,16,L2_S30|L3_S40|L3_S50,train,0,0.411071,False
229,487.7,501.91,14.21,9,L0_S24|L1_S34|L3_S44,train,0,0.000204,False
232,680.21,689.7,9.49,17,L1_S29|L2_S39|L3_S49,train,0,0.104906,False
235,1045.32,1057.63,12.31,16,L2_S26|L3_S36|L3_S46,train,1,0.89784,True
238,908.89,915.79,6.9,20,L0_S24|L1_S34|L3_S44,train,0,0.025023,False
241,190.82,195.9,5.08,10,L3_S23|L0_S33|L3_S43,train,0,0.062554,False
244,486.41,502.35,15.94,16,L1_S25|L2_S35|L3_S45,train,1,0.862446,True
247,906.59,923.79,17.2,15,L2_S22|L3_S32|L3_S42,train,0,0.079694,False
250,1462.89,1466.03,3.14,21,L0_S20|L1_S30|L3_S40,train,0,0.041321,False
253,1142.93,1156.19,13.26,11,L3_S31|L0_S41|L3_S51,train,1,0.811688,True
256,836.83,861.08,24.25,11,L1_S25|L2_S35|L3_S45,train,0,0.678904,False
259,1014.99,1019.11,4.12,17,L1_S21|L2_S31|L3_S41,train,0,0.283733,False
262,577.54,583.11,5.57,9,L0_S28|L1_S38|L3_S48,train,0,0.815321,True
265,1409.22,1416.22,7,8,L2_S22|L3_S32|L3_S42,train,0,0.825896,True
268,398.09,412.01,13.92,20,L3_S31|L0_S41|L3_S51,train,0,0.12522,False
271,504.9,519.87,14.97,13,L3_S31|L0_S41|L3_S51,train,0,0.492947,False
274,249.51,258.66,9.15,19,L3_S23|L0_S33|L3_S43,train,0,0.380035,False
277,366.82,379.31,12.49,20,L2_S26|L3_S36|L3_S46,train,0,0.014525,False
280,316.16,321.91,5.75,13,L1_S25|L2_S35|L3_S45,train,0,0.271848,False
283,861.62,872.28,10.66,15,L3_S23|L0_S33|L3_S43,train,0,0.479581,False
286,1699.21,1707.66,8.45,16,L3_S31|L0_S41|L3_S51,train,0,0.179314,False
289,1497.27,1497.83,0.56,17,L3_S23|L0_S33|L3_S43,train,0,0.007032,False
292,168.52,179.09,10.57,19,L0_S24|L1_S34|L3_S44,train,0,0.001114,False
295,98.85,105.87,7.02,10,L3_S23|L0_S33|L3_S43,train,0,0.416567,False
298,707.77,709.76,1.99,19,L2_S26|L3_S36|L3_S46,train,0,0.421235,False
301,1239.11,1252.91,13.8,11,L3_S31|L0_S41|L3_S51,train,0,0.982652,True
304,1187.55,1193.49,5.94,16,L2_S22|L3_S32|L3_S42,train,0,0.618576,False
